T,d
100,-0.00513
100,0.00062
100,-0.00157
100,-0.00067
100,-0.00234
100,-0.00428
100,-0.00046
100,-0.00276
100,-0.00448
100,-0.00141
100,-0.00209
100,-0.00149
100,-0.00241
100,-0.00218
100,-0.00247
100,0.00197
100,-0.00133
100,-0.00256
100,-0.00262
100,-0.00207
100,-0.00237
100,-0.00252
100,-0.00094
100,-0.00404
100,-0.00320
100,-0.00153
100,-0.00223
100,-0.00289
100,-0.00251
100,-0.00382
100,0.00006
100,-0.00148
100,-0.00047
100,-0.00194
100,-0.00169
100,-0.00106
100,-0.00221
100,-0.00344
100,-0.00221
100,-0.00107
100,-0.00267
100,-0.00270
100,-0.00232
100,-0.00066
100,-0.00161
100,-0.00279
100,-0.00299
100,-0.00416
100,0.00069
100,-0.00160
100,-0.00202
100,-0.00144
100,-0.00129
100,-0.00316
100,-0.00143
100,-0.00320
100,-0.00025
100,-0.00354
100,-0.00301
100,-0.00243
100,-0.00113
100,-0.00321
100,-0.00134
100,-0.00245
100,-0.00189
100,-0.00146
100,-0.00104
100,-0.00228
100,-0.00367
100,-0.00015
100,-0.00503
100,-0.00215
100,0.00065
100,-0.00040
100,-0.00629
100,-0.00001
100,-0.00074
100,-0.00306
100,-0.00429
100,-0.00310
100,-0.00294
100,-0.00408
100,0.00230
100,-0.00263
100,-0.00071
100,-0.00336
100,-0.00054
100,-0.00063
100,0.00101
100,-0.00088
100,-0.00142
100,-0.00107
100,-0.00167
100,-0.00196
100,-0.00136
100,-0.00334
100,-0.00430
100,-0.00097
100,-0.00065
100,-0.00264
200,-0.00374
200,-0.00413
200,-0.00348
200,-0.00499
200,-0.00578
200,-0.00173
200,-0.00195
200,-0.00528
200,-0.00446
200,-0.00298
200,-0.00380
200,-0.00364
200,-0.00246
200,-0.00556
200,-0.00528
200,-0.00936
200,-0.00309
200,-0.00007
200,-0.00376
200,-0.00450
200,-0.00264
200,-0.00501
200,-0.00486
200,-0.00224
200,-0.00563
200,-0.00436
200,-0.00212
200,-0.00864
200,-0.00372
200,-0.00256
200,-0.00462
200,-0.00433
200,-0.00144
200,-0.00283
200,-0.00089
200,-0.00640
200,-0.00472
200,-0.00261
200,0.00002
200,-0.00483
200,-0.00612
200,-0.00531
200,-0.00262
200,-0.00357
200,-0.00394
200,0.00157
200,-0.00504
200,-0.00291
200,-0.00295
200,-0.00377
200,-0.00241
200,-0.00353
200,-0.00528
200,-0.00295
200,-0.00617
200,-0.00384
200,-0.00329
200,-0.00890
200,-0.00328
200,-0.00260
200,-0.00584
200,-0.00039
200,-0.00440
200,-0.00448
200,-0.00444
200,-0.00457
200,0.00528
200,-0.00275
200,-0.00423
200,-0.00222
200,0.00018
200,-0.00498
200,-0.00584
200,-0.00498
200,-0.00529
200,-0.00558
200,-0.00400
200,-0.00739
200,-0.00398
200,-0.00057
200,-0.00614
200,-0.00270
200,0.00097
200,-0.00274
200,-0.00367
200,-0.00393
200,-0.00263
200,-0.00264
200,-0.00102
200,-0.00132
200,-0.00237
200,-0.00519
200,0.00151
200,0.00005
200,-0.00379
200,-0.00359
200,0.00015
200,-0.00385
200,-0.00123
200,-0.00374
500,-0.00952
500,-0.00972
500,-0.00930
500,-0.01796
500,-0.01008
500,-0.00577
500,-0.00593
500,-0.00507
500,-0.00695
500,-0.01672
500,0.00017
500,-0.01093
500,-0.00257
500,-0.00400
500,-0.00616
500,-0.00573
500,-0.01577
500,-0.00946
500,0.00381
500,-0.00521
500,-0.00806
500,-0.00899
500,-0.00589
500,-0.00658
500,-0.00520
500,-0.00524
500,0.00111
500,-0.00871
500,-0.00798
500,-0.00977
500,-0.00795
500,-0.01610
500,-0.00822
500,-0.01123
500,-0.00673
500,0.00189
500,-0.00512
500,-0.00977
500,-0.00704
500,-0.00780
500,-0.00587
500,-0.00416
500,-0.01210
500,-0.00656
500,-0.00665
500,-0.00601
500,-0.01055
500,-0.00752
500,-0.01007
500,-0.00998
500,-0.00710
500,-0.00591
500,-0.00887
500,-0.01099
500,-0.01003
500,-0.00179
500,-0.00758
500,-0.00724
500,-0.01603
500,-0.00512
500,-0.00887
500,-0.00627
500,-0.00396
500,0.00401
500,-0.00199
500,0.00173
500,-0.01097
500,-0.00331
500,-0.00460
500,-0.01065
500,-0.00427
500,0.00105
500,-0.00785
500,-0.00586
500,-0.01076
500,-0.00567
500,-0.01262
500,-0.00588
500,-0.00948
500,-0.00764
500,-0.00637
500,-0.00840
500,-0.00619
500,-0.00868
500,-0.00306
500,-0.00964
500,-0.00399
500,0.00013
500,-0.00568
500,-0.01297
500,-0.00965
500,-0.00891
500,-0.00792
500,-0.00102
500,-0.00996
500,-0.00442
500,-0.00787
500,-0.00983
500,-0.00947
500,-0.00262
1000,-0.00815
1000,-0.02119
1000,-0.00622
1000,-0.01742
1000,-0.00902
1000,-0.02100
1000,-0.01122
1000,-0.01125
1000,-0.00228
1000,-0.00302
1000,-0.01522
1000,-0.01166
1000,-0.01123
1000,-0.00760
1000,-0.01884
1000,-0.01097
1000,-0.05259
1000,-0.01261
1000,-0.01980
1000,-0.01341
1000,-0.00726
1000,-0.00590
1000,-0.00831
1000,-0.01171
1000,-0.00082
1000,-0.00559
1000,-0.01244
1000,-0.01720
1000,-0.01783
1000,-0.00965
1000,-0.00933
1000,-0.01721
1000,-0.00079
1000,-0.00461
1000,-0.00760
1000,-0.01315
1000,-0.00204
1000,-0.00976
1000,-0.01508
1000,-0.01381
1000,-0.00549
1000,-0.01697
1000,-0.01430
1000,-0.00677
1000,-0.00608
1000,-0.00725
1000,-0.01057
1000,-0.01473
1000,-0.01489
1000,-0.00483
1000,-0.00459
1000,-0.00765
1000,-0.01018
1000,-0.00777
1000,-0.01362
1000,-0.00640
1000,-0.00988
1000,-0.00517
1000,-0.00810
1000,-0.00610
1000,-0.01415
1000,-0.00423
1000,-0.01555
1000,-0.00147
1000,-0.01088
1000,-0.00143
1000,-0.00552
1000,0.00107
1000,-0.01329
1000,-0.01040
1000,-0.00550
1000,-0.00330
1000,-0.00808
1000,-0.00308
1000,-0.00679
1000,-0.01131
1000,-0.00599
1000,-0.00475
1000,-0.01605
1000,-0.00383
1000,-0.00879
1000,0.01836
1000,-0.00226
1000,-0.01053
1000,-0.01682
1000,-0.01187
1000,-0.00781
1000,-0.01241
1000,-0.01094
1000,-0.01668
1000,-0.00082
1000,-0.00798
1000,-0.00720
1000,-0.01382
1000,-0.01785
1000,-0.01260
1000,-0.00154
1000,-0.01025
1000,-0.01405
1000,-0.01337
1500,-0.00564
1500,-0.00328
1500,-0.01776
1500,-0.01719
1500,-0.01069
1500,-0.01381
1500,-0.00195
1500,-0.01082
1500,-0.02843
1500,-0.00725
1500,-0.01487
1500,-0.01730
1500,-0.00735
1500,-0.01507
1500,-0.03195
1500,-0.01196
1500,-0.00574
1500,-0.00658
1500,-0.01104
1500,-0.00611
1500,-0.01125
1500,-0.00744
1500,-0.00577
1500,-0.00629
1500,-0.00208
1500,-0.03379
1500,-0.01736
1500,-0.01279
1500,-0.01725
1500,-0.00981
1500,-0.01896
1500,-0.01059
1500,-0.03314
1500,-0.01283
1500,-0.00698
1500,0.00051
1500,-0.00590
1500,-0.01840
1500,0.01384
1500,-0.01656
1500,-0.01818
1500,-0.00469
1500,-0.01381
1500,0.00074
1500,-0.02257
1500,0.00030
1500,-0.00109
1500,-0.03406
1500,-0.01589
1500,-0.00528
1500,-0.01036
1500,-0.01394
1500,-0.01065
1500,0.01507
1500,-0.00382
1500,-0.01861
1500,-0.00482
1500,-0.00220
1500,-0.00170
1500,-0.00141
1500,-0.01577
1500,-0.00304
1500,-0.01175
1500,-0.00233
1500,-0.01044
1500,-0.01221
1500,-0.00963
1500,-0.00312
1500,-0.00213
1500,0.00155
1500,-0.00921
1500,-0.00602
1500,-0.00693
1500,-0.00011
1500,-0.00431
1500,-0.01607
1500,-0.00091
1500,-0.00784
1500,-0.01524
1500,-0.00366
1500,-0.01122
1500,-0.00571
1500,-0.02777
1500,0.00178
1500,-0.00436
1500,-0.00995
1500,-0.01890
1500,-0.00192
1500,-0.00984
1500,-0.00110
1500,-0.00548
1500,-0.04178
1500,-0.02463
1500,-0.00733
1500,-0.00057
1500,-0.01934
1500,-0.00762
1500,0.00482
1500,-0.02393
1500,-0.01461
2000,0.00478
2000,-0.00811
2000,0.00327
2000,-0.01555
2000,0.01897
2000,-0.00371
2000,-0.01279
2000,-0.01189
2000,-0.01770
2000,-0.01340
2000,-0.00150
2000,-0.00748
2000,0.00180
2000,-0.02028
2000,-0.00522
2000,-0.03107
2000,-0.00157
2000,-0.00639
2000,-0.00984
2000,-0.00258
2000,0.01703
2000,-0.01653
2000,-0.02831
2000,-0.00211
2000,-0.02559
2000,-0.01046
2000,-0.02407
2000,-0.00627
2000,-0.00944
2000,-0.00422
2000,-0.01679
2000,-0.01173
2000,-0.01059
2000,-0.05767
2000,-0.01376
2000,-0.01679
2000,-0.02146
2000,-0.02608
2000,-0.01401
2000,-0.01274
2000,-0.01040
2000,-0.00139
2000,-0.01082
2000,0.00404
2000,-0.00778
2000,-0.00545
2000,-0.00191
2000,-0.01052
2000,-0.01081
2000,-0.00416
2000,-0.01006
2000,0.00082
2000,-0.00668
2000,-0.01787
2000,-0.01928
2000,-0.01785
2000,-0.00559
2000,0.00019
2000,0.00862
2000,-0.02029
2000,0.01604
2000,-0.00979
2000,0.00789
2000,-0.01052
2000,0.00188
2000,-0.00321
2000,-0.01324
2000,-0.01113
2000,-0.00865
2000,-0.01210
2000,-0.05341
2000,0.00152
2000,-0.01043
2000,-0.01214
2000,-0.01492
2000,-0.02496
2000,0.01038
2000,-0.01908
2000,-0.01218
2000,-0.01349
2000,-0.00824
2000,-0.01435
2000,-0.01555
2000,-0.01428
2000,0.00022
2000,-0.00537
2000,-0.00027
2000,-0.00732
2000,-0.00749
2000,-0.05628
2000,-0.06057
2000,0.00347
2000,-0.00304
2000,0.00267
2000,-0.00330
2000,-0.01221
2000,-0.00372
2000,-0.02470
2000,0.00320
2000,-0.00237
3000,-0.04608
3000,0.00078
3000,0.00239
3000,-0.01525
3000,-0.05438
3000,-0.00759
3000,-0.02162
3000,-0.02288
3000,-0.01509
3000,-0.05120
3000,-0.02009
3000,-0.02062
3000,-0.00961
3000,-0.01538
3000,0.00142
3000,-0.01574
3000,-0.00628
3000,-0.04644
3000,-0.00518
3000,0.00093
3000,-0.00853
3000,-0.02996
3000,-0.00242
3000,-0.01081
3000,-0.03168
3000,-0.13085
3000,-0.00384
3000,-0.03844
3000,-0.02089
3000,-0.00750
3000,-0.00378
3000,-0.00467
3000,-0.00313
3000,-0.01075
3000,-0.01455
3000,0.00378
3000,0.00365
3000,-0.05597
3000,-0.01599
3000,-0.07063
3000,-0.00623
3000,-0.01844
3000,-0.02463
3000,-0.01203
3000,-0.00313
3000,-0.00674
3000,0.00767
3000,0.03718
3000,-0.01242
3000,-0.02521
3000,-0.01350
3000,-0.01131
3000,-0.02334
3000,-0.02351
3000,-0.06268
3000,-0.00676
3000,0.00127
3000,-0.00562
3000,-0.01893
3000,-0.06264
3000,0.00129
3000,-0.01716
3000,-0.04082
3000,-0.01475
3000,-0.01828
3000,-0.10099
3000,-0.09177
3000,-0.00330
3000,-0.01279
3000,-0.02264
3000,-0.01860
3000,0.01039
3000,-0.00774
3000,-0.01922
3000,-0.01831
3000,-0.02916
3000,-0.01086
3000,0.00161
3000,-0.00697
3000,-0.00813
3000,0.01207
3000,-0.01566
3000,-0.02363
3000,0.00155
3000,-0.05412
3000,-0.01560
3000,-0.00514
3000,-0.01176
3000,-0.02468
3000,-0.00480
3000,-0.01068
3000,-0.02296
3000,0.02130
3000,-0.00945
3000,-0.01635
3000,-0.01390
3000,-0.01251
3000,-0.01238
3000,-0.01579
3000,0.00205
5000,-0.02592
5000,-0.00576
5000,-0.11590
5000,-0.04134
5000,-0.01349
5000,-0.11461
5000,-0.00759
5000,0.01120
5000,0.00014
5000,-0.02628
5000,-0.01485
5000,0.00338
5000,-0.05703
5000,-0.02820
5000,-0.01522
5000,-0.05094
5000,-0.06483
5000,-0.00852
5000,-0.02203
5000,-0.04092
5000,0.00294
5000,0.00759
5000,-0.02275
5000,-0.02597
5000,-0.02984
5000,-0.02172
5000,-0.02056
5000,-0.06215
5000,-0.09970
5000,0.00910
5000,-0.03517
5000,0.00028
5000,-0.07526
5000,-0.00525
5000,-0.05056
5000,0.02246
5000,-0.00756
5000,0.00042
5000,-0.05650
5000,-0.02148
5000,-0.05351
5000,0.01975
5000,-0.01971
5000,-0.00934
5000,0.01082
5000,-0.03906
5000,-0.04425
5000,-0.01801
5000,0.00427
5000,-0.06221
5000,-0.02969
5000,-0.00470
5000,0.00090
5000,-0.02026
5000,-0.06420
5000,-0.02452
5000,-0.02180
5000,-0.00117
5000,-0.07003
5000,-0.01254
5000,-0.02138
5000,0.00322
5000,0.02764
5000,-0.15973
5000,-0.01692
5000,-0.00741
5000,-0.01337
5000,-0.02778
5000,-0.06787
5000,-0.01652
5000,-0.07246
5000,-0.09122
5000,-0.05701
5000,-0.02313
5000,-0.03671
5000,-0.03291
5000,0.01372
5000,2.44186
5000,-0.03605
5000,-0.04558
5000,-0.06514
5000,0.00266
5000,-0.00441
5000,-0.02724
5000,-0.02471
5000,-0.03952
5000,-0.05238
5000,-0.02243
5000,-0.05456
5000,-0.00489
5000,-0.00722
5000,-0.00011
5000,0.00316
5000,-0.03819
5000,-0.01840
5000,0.01224
5000,-0.02930
5000,0.00058
5000,-0.03446
5000,-0.01253
